Date,month,year,power_MW
15,12,2004,18021
13,12,2004,14308
13,12,2004,14116
13,12,2004,14021
13,12,2004,14052
13,12,2004,14408
13,12,2004,15501
13,12,2004,17190
13,12,2004,18404
13,12,2004,18474
13,12,2004,18536
13,12,2004,18575
13,12,2004,18493
13,12,2004,18435
13,12,2004,18492
13,12,2004,18438
13,12,2004,18484
13,12,2004,18945
13,12,2004,20103
13,12,2004,20564
13,12,2004,20447
13,12,2004,20311
13,12,2004,19814
13,12,2004,18762
14,12,2004,17504
13,12,2004,14939
30,11,2004,14437
30,11,2004,14061
30,11,2004,13843
30,11,2004,13818
30,11,2004,14062
30,11,2004,14942
30,11,2004,16480
30,11,2004,17314
30,11,2004,17206
30,11,2004,17120
30,11,2004,17065
30,11,2004,16863
30,11,2004,16814
30,11,2004,16749
30,11,2004,16616
30,11,2004,16787
30,11,2004,17233
30,11,2004,18123
30,11,2004,18388
30,11,2004,18189
30,11,2004,17797
30,11,2004,17247
30,11,2004,16103
29,11,2004,14484
29,11,2004,14185
29,11,2004,14003
29,11,2004,14075
29,11,2004,14413
29,11,2004,15361
29,11,2004,16980
29,11,2004,17907
29,11,2004,17740
29,11,2004,17617
29,11,2004,17486
29,11,2004,17275
29,11,2004,17079
29,11,2004,16999
29,11,2004,16737
29,11,2004,16660
29,11,2004,16922
29,11,2004,17949
29,11,2004,18246
29,11,2004,18179
29,11,2004,17914
29,11,2004,17355
29,11,2004,16441
30,11,2004,15234
28,11,2004,12678
28,11,2004,12292
28,11,2004,12015
28,11,2004,11934
28,11,2004,12077
28,11,2004,12253
28,11,2004,12690
28,11,2004,13423
28,11,2004,14082
28,11,2004,14509
28,11,2004,14606
28,11,2004,14716
28,11,2004,14567
28,11,2004,14565
28,11,2004,14347
28,11,2004,14318
28,11,2004,14675
28,11,2004,15910
28,11,2004,16406
28,11,2004,16582
28,11,2004,16447
28,11,2004,16162
28,11,2004,15528
29,11,2004,14837
27,11,2004,13163
27,11,2004,12878
27,11,2004,12648
27,11,2004,12607
27,11,2004,12859
27,11,2004,13113
27,11,2004,13717
27,11,2004,14321
27,11,2004,14807
27,11,2004,15000
27,11,2004,14857
27,11,2004,14443
27,11,2004,14237
27,11,2004,13888
27,11,2004,13793
27,11,2004,13907
27,11,2004,14364
27,11,2004,15281
27,11,2004,15417
27,11,2004,15368
27,11,2004,15237
27,11,2004,14906
27,11,2004,14229
28,11,2004,13428
26,11,2004,13332
26,11,2004,13123
26,11,2004,13091
26,11,2004,13156
26,11,2004,13402
26,11,2004,13919
26,11,2004,14563
26,11,2004,15072
26,11,2004,15427
26,11,2004,15493
26,11,2004,15247
26,11,2004,14915
26,11,2004,14691
26,11,2004,14366
26,11,2004,14027
26,11,2004,13989
26,11,2004,14218
26,11,2004,15132
26,11,2004,15465
26,11,2004,15375
26,11,2004,15231
26,11,2004,15008
26,11,2004,14445
27,11,2004,13781
25,11,2004,12244
25,11,2004,11750
25,11,2004,11480
25,11,2004,11438
25,11,2004,11427
25,11,2004,11657
25,11,2004,12183
25,11,2004,12850
25,11,2004,13747
25,11,2004,14652
25,11,2004,15072
25,11,2004,14980
25,11,2004,14262
25,11,2004,13472
25,11,2004,13036
25,11,2004,12847
25,11,2004,12962
25,11,2004,13618
25,11,2004,14104
25,11,2004,14314
25,11,2004,14500
25,11,2004,14583
25,11,2004,14279
26,11,2004,13784
24,11,2004,12829
24,11,2004,12420
24,11,2004,12192
24,11,2004,12146
24,11,2004,12349
24,11,2004,13180
24,11,2004,14564
24,11,2004,15665
24,11,2004,15943
24,11,2004,16226
24,11,2004,16332
24,11,2004,16350
24,11,2004,16202
24,11,2004,16062
24,11,2004,15836
24,11,2004,15663
24,11,2004,15679
24,11,2004,16202
24,11,2004,16360
24,11,2004,16068
24,11,2004,15811
24,11,2004,15325
24,11,2004,14345
25,11,2004,13165
23,11,2004,13158
23,11,2004,12767
23,11,2004,12539
23,11,2004,12462
23,11,2004,12655
23,11,2004,13484
23,11,2004,15037
23,11,2004,15885
23,11,2004,15803
23,11,2004,15860
23,11,2004,15942
23,11,2004,15784
23,11,2004,15615
23,11,2004,15500
23,11,2004,15257
23,11,2004,15161
23,11,2004,15357
23,11,2004,16153
23,11,2004,16388
23,11,2004,16224
23,11,2004,15980
23,11,2004,15497
23,11,2004,14650
24,11,2004,13661
22,11,2004,12645
22,11,2004,12352
22,11,2004,12189
22,11,2004,12212
22,11,2004,12530
22,11,2004,13369
22,11,2004,14984
22,11,2004,15915
22,11,2004,15966
22,11,2004,16017
22,11,2004,16015
22,11,2004,15776
22,11,2004,15676
22,11,2004,15523
22,11,2004,15226
22,11,2004,15140
22,11,2004,15380
22,11,2004,16321
22,11,2004,16726
22,11,2004,16604
22,11,2004,16360
22,11,2004,15855
22,11,2004,14902
23,11,2004,13871
21,11,2004,11839
21,11,2004,11343
21,11,2004,11095
21,11,2004,11053
21,11,2004,10998
21,11,2004,11306
21,11,2004,11666
21,11,2004,12352
21,11,2004,12989
21,11,2004,13427
21,11,2004,13411
21,11,2004,13399
21,11,2004,13409
21,11,2004,13394
21,11,2004,13183
21,11,2004,13186
21,11,2004,13502
21,11,2004,14467
21,11,2004,14931
21,11,2004,14937
21,11,2004,14814
21,11,2004,14490
21,11,2004,13848
22,11,2004,13160
20,11,2004,12409
20,11,2004,11868
20,11,2004,11606
20,11,2004,11585
20,11,2004,11604
20,11,2004,11901
20,11,2004,12397
20,11,2004,13130
20,11,2004,13816
20,11,2004,14252
20,11,2004,14419
20,11,2004,14392
20,11,2004,14137
20,11,2004,13920
20,11,2004,13714
20,11,2004,13581
20,11,2004,13854
20,11,2004,14598
20,11,2004,14640
20,11,2004,14316
20,11,2004,14143
20,11,2004,13759
20,11,2004,13159
21,11,2004,12471
19,11,2004,13089
19,11,2004,12652
19,11,2004,12381
19,11,2004,12318
19,11,2004,12559
19,11,2004,13303
19,11,2004,14939
19,11,2004,15854
19,11,2004,15842
19,11,2004,15958
19,11,2004,15965
19,11,2004,15806
19,11,2004,15712
19,11,2004,15628
19,11,2004,15444
19,11,2004,15192
19,11,2004,15341
19,11,2004,15931
19,11,2004,15856
19,11,2004,15540
19,11,2004,15252
19,11,2004,14898
19,11,2004,14124
20,11,2004,13167
18,11,2004,13181
18,11,2004,12655
18,11,2004,12660
18,11,2004,12555
18,11,2004,12811
18,11,2004,13625
18,11,2004,15270
18,11,2004,16160
18,11,2004,16119
18,11,2004,16052
18,11,2004,16219
18,11,2004,16074
18,11,2004,16003
18,11,2004,15873
18,11,2004,15771
18,11,2004,15650
18,11,2004,15839
18,11,2004,16542
18,11,2004,16822
18,11,2004,16630
18,11,2004,16303
18,11,2004,15802
18,11,2004,14799
19,11,2004,13771
17,11,2004,13547
17,11,2004,13224
17,11,2004,13090
17,11,2004,13047
17,11,2004,13301
17,11,2004,14090
17,11,2004,15790
17,11,2004,16594
17,11,2004,16440
17,11,2004,16345
17,11,2004,16251
17,11,2004,16072
17,11,2004,15924
17,11,2004,15832
17,11,2004,15697
17,11,2004,15714
17,11,2004,16072
17,11,2004,16773
17,11,2004,16899
17,11,2004,16782
17,11,2004,16479
17,11,2004,15967
17,11,2004,14929
18,11,2004,13910
16,11,2004,14221
16,11,2004,13842
16,11,2004,13705
16,11,2004,13668
16,11,2004,13992
16,11,2004,14773
16,11,2004,16390
16,11,2004,17175
16,11,2004,17039
16,11,2004,16959
16,11,2004,16830
16,11,2004,16452
16,11,2004,16347
16,11,2004,16168
16,11,2004,15926
16,11,2004,15732
16,11,2004,16016
16,11,2004,16783
16,11,2004,17161
16,11,2004,16963
16,11,2004,16707
16,11,2004,16130
16,11,2004,15351
17,11,2004,14269
15,11,2004,14126
15,11,2004,14036
15,11,2004,14060
15,11,2004,14252
15,11,2004,14747
15,11,2004,15767
15,11,2004,17495
15,11,2004,18161
15,11,2004,17962
15,11,2004,17580
15,11,2004,17167
15,11,2004,16659
15,11,2004,16276
15,11,2004,15959
15,11,2004,15681
15,11,2004,15497
15,11,2004,15723
15,11,2004,16714
15,11,2004,17269
15,11,2004,17344
15,11,2004,17159
15,11,2004,16677
15,11,2004,15726
16,11,2004,14877
14,11,2004,13754
14,11,2004,13528
14,11,2004,13497
14,11,2004,13572
14,11,2004,13681
14,11,2004,14001
14,11,2004,14490
14,11,2004,15050
14,11,2004,15337
14,11,2004,15186
